distance_km,architecture,protocol,alpha,photon_path_km,eta,link_success_probability,end_to_end_fidelity,expected_attempts_analytic,expected_attempts_simulated,expected_seconds_analytic,expected_seconds_simulated
30.0,direct,Single-click,0.05,15.0,0.5056967074374725,0.0499303478439645,0.95,20.027899727938273,20.12315,2.0027899727938274e-05,2.012315e-05
30.0,one-repeater,Single-click,0.05,7.5,0.7111235528636867,0.06984811351777498,0.9033333333333332,21.216121425777224,21.15755,2.1216121425777224e-05,2.1157550000000002e-05
30.0,direct,Single-click,0.1,15.0,0.5056967074374725,0.0985820498883635,0.9,10.143834512798447,10.2149,1.0143834512798448e-05,1.02149e-05
30.0,one-repeater,Single-click,0.1,7.5,0.7111235528636867,0.1371677434983626,0.8133333333333334,10.667107114724962,10.54245,1.0667107114724962e-05,1.0542450000000001e-05
30.0,direct,Single-click,0.2,15.0,0.5056967074374725,0.192049516578465,0.8,5.206990456502574,5.21615,5.206990456502574e-06,5.21615e-06
30.0,one-repeater,Single-click,0.2,7.5,0.7111235528636867,0.26422155284797577,0.6533333333333334,5.3889987155932175,5.3876,5.388998715593218e-06,5.3876e-06
40.0,direct,Barrett-Kok,,20.0,0.402890321529133,0.08116030559092409,1.0,12.321294168609278,12.40085,1.2321294168609278e-05,1.240085e-05
40.0,one-repeater,Barrett-Kok,,10.0,0.6347364189402819,0.2014451607645665,1.0,7.168194278256555,7.2461,7.168194278256555e-06,7.2461e-06
40.0,direct,Single-click,0.05,20.0,0.402890321529133,0.03988323062495868,0.95,25.073194531393003,24.9988,2.5073194531393003e-05,2.49988e-05
40.0,one-repeater,Single-click,0.05,10.0,0.6347364189402819,0.06246641609020536,0.9033333333333332,23.7548431117638,23.4618,2.37548431117638e-05,2.34618e-05
40.0,direct,Single-click,0.1,20.0,0.402890321529133,0.07895485819400812,0.9,12.665465088200108,12.6473,1.2665465088200108e-05,1.26473e-05
40.0,one-repeater,Single-click,0.1,10.0,0.6347364189402819,0.12291838057276507,0.8133333333333334,11.936848730733857,11.83895,1.1936848730733857e-05,1.1838950000000001e-05
40.0,direct,Single-click,0.2,20.0,0.402890321529133,0.1546633041643793,0.8,6.4656578068264965,6.43305,6.465657806826497e-06,6.433049999999999e-06
40.0,one-repeater,Single-click,0.2,10.0,0.6347364189402819,0.23777895471494745,0.6533333333333334,6.024647139860453,6.0427,6.024647139860453e-06,6.0427e-06
50.0,direct,Barrett-Kok,,25.0,0.32098411714875263,0.05151540173088208,1.0,19.4116704208972,19.3615,1.9411670420897197e-05,1.93615e-05
50.0,one-repeater,Barrett-Kok,,12.5,0.5665546020894655,0.1604920585743763,1.0,9.074445019446879,9.1185,9.07444501944688e-06,9.1185e-06
50.0,direct,Single-click,0.05,25.0,0.32098411714875263,0.03184083470622085,0.95,31.406211841696056,31.66605,3.140621184169606e-05,3.166605e-05
50.0,one-repeater,Single-click,0.05,12.5,0.5665546020894655,0.05585299991607467,0.9033333333333332,26.599029683493356,26.29545,2.6599029683493355e-05,2.629545e-05
50.0,direct,Single-click,0.1,25.0,0.32098411714875263,0.06316651539513289,0.9,15.831172477135759,15.86705,1.583117247713576e-05,1.586705e-05
50.0,one-repeater,Single-click,0.1,12.5,0.5665546020894655,0.11010107924640558,0.8133333333333334,13.359280241250488,13.48985,1.3359280241250489e-05,1.3489850000000001e-05
50.0,direct,Single-click,0.2,25.0,0.32098411714875263,0.12427241472103048,0.8,8.0468380874776,8.0115,8.0468380874776e-06,8.0115e-06
50.0,one-repeater,Single-click,0.2,12.5,0.5665546020894655,0.21378247614983611,0.6533333333333334,6.736556695171087,6.7469,6.736556695171087e-06,6.7469e-06
60.0,direct,Barrett-Kok,,30.0,0.25572915991310063,0.0326987016149301,1.0,30.582254053274212,30.63375,3.058225405327421e-05,3.063375e-05
60.0,one-repeater,Barrett-Kok,,15.0,0.5056967074374725,0.12786457995655034,1.0,11.464086508966522,11.43145,1.1464086508966522e-05,1.143145e-05
60.0,direct,Single-click,0.05,30.0,0.25572915991310063,0.025409422483235414,0.95,39.355479277806424,39.363,3.9355479277806426e-05,3.9363e-05
60.0,one-repeater,Single-click,0.05,15.0,0.5056967074374725,0.0499303478439645,0.9033333333333332,29.785448493901928,29.7221,2.978544849390193e-05,2.97221e-05
60.0,direct,Single-click,0.1,30.0,0.25572915991310063,0.050491857950321524,0.9,19.805173360502813,19.9541,1.9805173360502814e-05,1.99541e-05
60.0,one-repeater,Single-click,0.1,15.0,0.5056967074374725,0.0985820498883635,0.8133333333333334,14.952790119987068,14.9228,1.4952790119987068e-05,1.49228e-05
60.0,direct,Single-click,0.2,30.0,0.25572915991310063,0.09967576783604584,0.8,10.032528684854224,9.8882,1.0032528684854225e-05,9.8882e-06
60.0,one-repeater,Single-click,0.2,15.0,0.5056967074374725,0.192049516578465,0.6533333333333334,7.5339294380065756,7.4798,7.533929438006576e-06,7.4798e-06
70.0,direct,Barrett-Kok,,35.0,0.2037403090557072,0.020755056767057543,1.0,48.18102938591821,48.15135,4.818102938591821e-05,4.815135e-05
70.0,one-repeater,Barrett-Kok,,17.5,0.4513760173687867,0.10187015452785361,1.0,14.46120955244737,14.42965,1.446120955244737e-05,1.442965e-05
70.0,direct,Single-click,0.05,35.0,0.2037403090557072,0.02027025562173543,0.95,49.333368984637666,49.60075,4.933336898463767e-05,4.960075e-05
70.0,one-repeater,Single-click,0.05,17.5,0.4513760173687867,0.0446282509642394,0.9033333333333332,33.35529093970902,33.57055,3.335529093970902e-05,3.3570549999999997e-05
70.0,direct,Single-click,0.1,35.0,0.2037403090557072,0.04033296067580029,0.9,24.79361750896701,24.8364,2.479361750896701e-05,2.48364e-05
70.0,one-repeater,Single-click,0.1,17.5,0.4513760173687867,0.08823780038320027,0.8133333333333334,16.737978335477507,16.9629,1.6737978335477507e-05,1.69629e-05
70.0,direct,Single-click,0.2,35.0,0.2037403090557072,0.07983571908091827,0.8,12.525721713440575,12.69005,1.2525721713440575e-05,1.2690049999999999e-05
70.0,one-repeater,Single-click,0.2,17.5,0.4513760173687867,0.17240079458528637,0.6533333333333334,8.427072994849965,8.4183,8.427072994849966e-06,8.4183e-06
80.0,direct,Barrett-Kok,,40.0,0.16232061118184818,0.013173990407224369,1.0,75.9071449947025,76.75415,7.59071449947025e-05,7.675415e-05
80.0,one-repeater,Barrett-Kok,,20.0,0.402890321529133,0.08116030559092409,1.0,18.221367114565183,18.3156,1.822136711456518e-05,1.83156e-05
80.0,direct,Single-click,0.05,40.0,0.16232061118184818,0.016166191166148695,0.95,61.85748948051268,61.84825,6.185748948051268e-05,6.184825e-05
80.0,one-repeater,Single-click,0.05,20.0,0.402890321529133,0.03988323062495868,0.9033333333333332,37.35470495338099,37.4627,3.735470495338099e-05,3.7462699999999996e-05
80.0,direct,Single-click,0.1,40.0,0.16232061118184818,0.03220064242822515,0.9,31.0552810313952,31.26045,3.10552810313952e-05,3.126045e-05
80.0,one-repeater,Single-click,0.1,20.0,0.402890321529133,0.07895485819400812,0.8133333333333334,18.737922644940973,18.8908,1.873792264494097e-05,1.88908e-05
80.0,direct,Single-click,0.2,40.0,0.16232061118184818,0.06387432524016133,0.8,15.65574268284003,15.7631,1.565574268284003e-05,1.5763099999999998e-05
80.0,one-repeater,Single-click,0.2,20.0,0.402890321529133,0.1546633041643793,0.6533333333333334,9.427533446735932,9.37345,9.427533446735931e-06,9.373450000000001e-06
90.0,direct,Barrett-Kok,,45.0,0.12932139416380586,0.008362011494235221,1.0,119.58845077998289,118.9264,0.00011958845077998289,0.00011892640000000001
90.0,one-repeater,Barrett-Kok,,22.5,0.35961283926440374,0.06466069708190295,1.0,22.939665140542026,22.96645,2.2939665140542025e-05,2.2966449999999998e-05
90.0,direct,Single-click,0.05,45.0,0.12932139416380586,0.01289032935890941,0.95,77.57753678410319,78.0724,7.757753678410319e-05,7.807240000000001e-05
90.0,one-repeater,Single-click,0.05,22.5,0.35961283926440374,0.03563798044103086,0.9033333333333332,41.835391568181535,41.76005,4.1835391568181534e-05,4.176005e-05
90.0,direct,Single-click,0.1,45.0,0.12932139416380586,0.02569703860287647,0.9,38.91498998986063,38.7974,3.891498998986063e-05,3.87974e-05
90.0,one-repeater,Single-click,0.1,22.5,0.35961283926440374,0.07062935391124268,0.8133333333333334,20.978476924997082,20.7331,2.0978476924997082e-05,2.07331e-05
90.0,direct,Single-click,0.2,45.0,0.12932139416380586,0.05105959674598353,0.8,19.584956868635324,19.73515,1.9584956868635322e-05,1.973515e-05
90.0,one-repeater,Single-click,0.2,22.5,0.35961283926440374,0.13867227993920925,0.6533333333333334,10.548244369903951,10.5169,1.054824436990395e-05,1.05169e-05
100.0,direct,Barrett-Kok,,50.0,0.10303080346176416,0.005307673230988337,1.0,188.4064742647676,187.7012,0.0001884064742647676,0.0001877012
